"Date	AQS_SITE_ID	POC	Daily Mean PM2.5 Concentration	UNITS	DAILY_AQI_VALUE	DAILY_OBS_COUNT	PERCENT_COMPLETE	AQS_PARAMETER_CODE	AQS_PARAMETER_DESC	CBSA_CODE	CBSA_NAME	STATE_CODE	STATE	COUNTY_CODE	COUNTY	SITE_LATITUDE	SITE_LONGITUDE	MAX_TEMP	AVG_TEMP	MIN_TEMP",
"1/1/2017	60371103	1	12.2	ug/m3 LC	51	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	60	52	44"
"1/2/2017	60371103	1	7.4	ug/m3 LC	31	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	57	54	51"
"1/3/2017	60371103	1	11.4	ug/m3 LC	48	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	60	54	48"
"1/4/2017	60371103	1	13.9	ug/m3 LC	55	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	63	54	46"
"1/5/2017	60371103	1	5.1	ug/m3 LC	21	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	64	60	54"
"1/6/2017	60371103	1	8.1	ug/m3 LC	34	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	64	58	51"
"1/7/2017	60371103	1	8.4	ug/m3 LC	35	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	70	61	51"
"1/8/2017	60371103	1	7.3	ug/m3 LC	30	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	79	66	53"
"1/9/2017	60371103	1	7.7	ug/m3 LC	32	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	64	60	55"
"1/10/2017	60371103	1	6.7	ug/m3 LC	28	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	61	56	51"
"1/11/2017	60371103	1	12.9	ug/m3 LC	53	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	66	61	55"
"1/12/2017	60371103	1	5.7	ug/m3 LC	24	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	58	56	53"
"1/13/2017	60371103	1	9.9	ug/m3 LC	41	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	62	56	49"
"1/14/2017	60371103	1	15.4	ug/m3 LC	58	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	72	60	47"
"1/15/2017	60371103	1	10.1	ug/m3 LC	42	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	66	60	53"
"1/16/2017	60371103	1	13.4	ug/m3 LC	54	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	66	59	52"
"1/18/2017	60371103	1	13.7	ug/m3 LC	54	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	62	55	47"
"1/19/2017	60371103	1	6.8	ug/m3 LC	28	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	64	58	52"
"1/20/2017	60371103	1	5.5	ug/m3 LC	23	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	59	55	51"
"1/21/2017	60371103	1	5.5	ug/m3 LC	23	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	63	55	46"
"1/22/2017	60371103	1	5.5	ug/m3 LC	23	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	56	54	51"
"1/23/2017	60371103	1	4.1	ug/m3 LC	17	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	58	51	44"
"1/24/2017	60371103	1	7.1	ug/m3 LC	30	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	58	50	41"
"1/25/2017	60371103	1	10.8	ug/m3 LC	45	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	61	51	41"
"1/26/2017	60371103	1	10.4	ug/m3 LC	43	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	65	54	43"
"1/27/2017	60371103	1	8.6	ug/m3 LC	36	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	64	54	44"
"1/28/2017	60371103	1	9.9	ug/m3 LC	41	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	74	58	41"
"1/29/2017	60371103	1	9.7	ug/m3 LC	40	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	80	64	47"
"1/30/2017	60371103	1	8.4	ug/m3 LC	35	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	80	67	53"
"1/31/2017	60371103	1	12.7	ug/m3 LC	52	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	77	64	50"
"2/1/2017	60371103	1	18.6	ug/m3 LC	65	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	72	60	48"
"2/2/2017	60371103	1	16.5	ug/m3 LC	60	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	68	61	53"
"2/3/2017	60371103	1	14.3	ug/m3 LC	56	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	61	58	55"
"2/4/2017	60371103	1	8.5	ug/m3 LC	35	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	66	61	55"
"2/5/2017	60371103	1	15.9	ug/m3 LC	59	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	61	58	55"
"2/6/2017	60371103	1	4.7	ug/m3 LC	20	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	61	58	54"
"2/7/2017	60371103	1	4.6	ug/m3 LC	19	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	66	62	58"
"2/8/2017	60371103	1	5.3	ug/m3 LC	22	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	73	66	59"
"2/9/2017	60371103	1	9.3	ug/m3 LC	39	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	75	67	58"
"2/10/2017	60371103	1	15.1	ug/m3 LC	57	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	65	62	58"
"2/11/2017	60371103	1	6.4	ug/m3 LC	27	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	65	60	55"
"2/12/2017	60371103	1	9.9	ug/m3 LC	41	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	75	63	50"
"2/14/2017	60371103	1	12.3	ug/m3 LC	51	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	73	65	56"
"2/16/2017	60371103	1	15.4	ug/m3 LC	58	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	68	60	51"
"2/17/2017	60371103	1	5.7	ug/m3 LC	24	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	61	57	53"
"2/18/2017	60371103	1	4.4	ug/m3 LC	18	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	63	58	53"
"2/19/2017	60371103	1	6.1	ug/m3 LC	25	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	63	59	54"
"2/20/2017	60371103	1	7.8	ug/m3 LC	33	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	64	59	54"
"2/21/2017	60371103	1	8.9	ug/m3 LC	37	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	68	63	58"
"2/22/2017	60371103	1	4.8	ug/m3 LC	20	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	66	59	51"
"2/23/2017	60371103	1	2.2	ug/m3 LC	9	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	62	56	49"
"2/24/2017	60371103	1	6	ug/m3 LC	25	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	64	54	44"
"2/25/2017	60371103	1	11	ug/m3 LC	46	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	66	55	44"
"2/26/2017	60371103	1	4.2	ug/m3 LC	18	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	58	54	49"
"2/27/2017	60371103	1	6	ug/m3 LC	25	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	61	57	52"
"2/28/2017	60371103	1	5.8	ug/m3 LC	24	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	66	57	47"
"3/1/2017	60371103	1	6	ug/m3 LC	25	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	75	61	47"
"3/2/2017	60371103	1	6.3	ug/m3 LC	26	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	79	64	48"
"3/3/2017	60371103	1	5.7	ug/m3 LC	24	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	82	69	55"
"3/4/2017	60371103	1	9.7	ug/m3 LC	40	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	71	62	53"
"3/5/2017	60371103	1	5.8	ug/m3 LC	24	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	63	56	49"
"3/6/2017	60371103	1	5.2	ug/m3 LC	22	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	67	57	46"
"3/7/2017	60371103	1	6.9	ug/m3 LC	29	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	77	63	49"
"3/8/2017	60371103	1	8.1	ug/m3 LC	34	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	85	70	54"
"3/9/2017	60371103	1	12.1	ug/m3 LC	51	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	87	72	57"
"3/10/2017	60371103	1	11.7	ug/m3 LC	49	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	81	69	56"
"3/11/2017	60371103	1	14.1	ug/m3 LC	55	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	83	69	55"
"3/12/2017	60371103	1	21.5	ug/m3 LC	71	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	84	69	53"
"3/13/2017	60371103	1	32.5	ug/m3 LC	94	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	88	70	55"
"3/15/2017	60371103	1	14	ug/m3 LC	55	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	85	71	57"
"3/16/2017	60371103	1	17.8	ug/m3 LC	63	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	79	69	58"
"3/17/2017	60371103	1	23.5	ug/m3 LC	75	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	78	66	53"
"3/18/2017	60371103	1	27.8	ug/m3 LC	84	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	75	66	57"
"3/19/2017	60371103	1	19	ug/m3 LC	66	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	77	67	56"
"3/20/2017	60371103	1	5.7	ug/m3 LC	24	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	71	65	59"
"3/22/2017	60371103	1	4	ug/m3 LC	17	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	69	62	55"
"3/23/2017	60371103	1	4.8	ug/m3 LC	20	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	70	62	54"
"3/24/2017	60371103	1	8.5	ug/m3 LC	35	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	72	63	53"
"3/25/2017	60371103	1	7.2	ug/m3 LC	30	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	70	62	54"
"3/26/2017	60371103	1	8.3	ug/m3 LC	35	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	71	64	57"
"3/27/2017	60371103	1	6.7	ug/m3 LC	28	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	74	65	55"
"3/28/2017	60371103	1	8.3	ug/m3 LC	35	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	79	68	57"
"3/29/2017	60371103	1	9.3	ug/m3 LC	39	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	83	70	56"
"3/30/2017	60371103	1	10.8	ug/m3 LC	45	1	100	88101	PM2.5 - Local Conditions	31080	""Los Angeles-Long Beach-Anaheim"," CA""	6	California	37	Los Angeles	34.06659	-118.22688	75	67	58"
