PM 10,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity,Max Humidity,Max Pressure,Min Pressure,Precipitation
206,66,53,10,75.5,100,30.15,30.08,0
209,69,49,14,64,92,30.09,29.94,0
151,63,49,7,73,96,30.03,29.96,0
181,61,46,4,73,93,30.17,30.08,0
241,64,45,6,66.5,91,30.12,30.03,0
101,58,50,6,81.5,97,30.11,29.96,0
204,69,50,8,69,100,30.15,30.05,0
237,69,51,9,64,98,30.14,30.03,0
192,63,49,6,69.5,87,30.22,30.12,0
159,65,50,9,70.5,94,30.14,30.06,0
267,74,53,12,63,89,30.11,30,0
190,75,51,5,63,94,30.09,29.99,0
144,79,61,9,67.5,89,30,29.86,0
268,84,62,8,68,96,29.94,29.79,0
140,84,66,9,72,96,29.93,29.83,0.08
210,83,64,4,71,94,30.03,29.89,0
181,83,64,7,75,100,29.93,29.79,0
210,81,45,7,36.5,59,29.87,29.76,0
102,71,61,14,84,100,29.97,29.83,0.28
264,81,56,12,57.5,86,30.07,29.98,0
150,81,59,8,67,98,30,29.88,0.35
283,75,50,13,51.5,77,30.19,30.05,0
187,82,60,6,66,94,30,29.91,0
171,79,63,10,78.5,97,30.09,30,0
219,78,60,17,70,92,29.97,29.88,0
165,82,59,8,64,94,30.01,29.92,0
178,91,66,12,60.5,88,29.86,29.77,0
149,94,66,5,58.5,93,29.88,29.76,0
174,97,68,34,59.5,94,30.04,29.85,0
175,96,64,15,46.5,73,29.97,29.81,0
199,86,68,9,72,92,29.71,29.62,0
195,88,64,7,62.5,96,29.8,29.7,0
164,90,61,10,54.5,83,29.98,29.83,0
146,90,62,15,51,76,29.88,29.79,0
275,97,63,13,50,82,29.83,29.72,0
171,93,69,9,62,89,29.99,29.83,0
228,95,64,13,55,86,29.9,29.64,0
242,103,67,7,37.5,56,29.78,29.64,0
229,101,55,17,35,62,29.7,29.57,0
195,103,58,21,35,58,29.69,29.59,0
219,98,71,21,53.5,72,29.82,29.65,0
235,99,65,7,42,63,29.76,29.65,0
137,105,58,13,40.5,73,29.75,29.57,0
124,108,55,17,21.5,34,29.7,29.55,0
258,108,62,9,25,40,29.64,29.47,0
50,96,70,9,58.5,83,29.76,29.65,0.08
132,96,68,12,49.5,70,29.78,29.68,0.02
89,109,69,7,34,49,29.6,29.45,0
123,106,62,14,35,58,29.68,29.52,0
61,108,61,15,31,53,29.62,29.47,0
302,113,63,14,32.5,54,29.48,29.36,0
110,113,61,14,20,29,29.57,29.44,0
329,106,63,20,28.5,41,29.61,29.47,0
192,98,63,18,51,79,29.81,29.48,0.12
174,103,65,13,38.5,61,29.73,29.56,0.02
231,106,70,18,33.5,44,29.61,29.44,0
150,101,74,8,54,79,29.57,29.43,0
121,103,74,7,50.5,73,29.55,29.37,0
185,108,77,12,44.5,61,29.48,29.35,0
155,98,77,6,46.5,89,29.46,29.32,0.24
111,87,75,7,81.5,97,29.42,29.34,0.01
183,96,75,12,58.5,72,29.73,29.57,0
173,100,76,17,55,69,29.51,29.42,0
121,101,78,16,49,57,29.44,29.35,0
256,96,79,7,74,93,29.54,29.42,0
229,82,79,13,91.5,98,29.54,29.44,0.39
134,92,77,7,75.5,97,29.61,29.47,0
171,96,78,12,69,87,29.55,29.42,0
155,99,76,12,61.5,79,29.43,29.31,0
191,94,80,9,74,87,29.48,29.43,0
148,96,79,8,68.5,88,29.57,29.47,0
158,98,79,7,62.5,82,29.62,29.47,0
176,97,79,9,70.5,74,29.62,29.48,0
292,94,76,12,68,84,29.59,29.48,0.01
261,89,74,9,64,73,29.53,29.41,0
179,88,75,9,69,78,29.53,29.46,0.02
120,95,80,7,72,86,29.52,29.45,0.03
173,93,80,4,78.5,95,29.52,29.46,0
276,93,80,9,77,95,29.59,29.49,0.63
236,85,79,5,87,98,29.61,29.47,1.61
177,94,80,0,75,94,29.58,29.46,0
197,96,80,2,69.5,87,29.64,29.53,0
151,95,80,4,73,87,29.62,29.5,0
189,96,77,10,69.5,89,29.63,29.57,0.08
198,94,75,17,58.5,71,29.63,29.53,0
208,93,77,12,72,90,29.63,29.54,0.28
253,96,76,13,59,75,29.6,29.49,0
150,97,77,9,59,76,29.62,29.5,0
197,98,79,5,60,79,29.66,29.55,0
197,97,72,16,48.5,66,29.6,29.5,0
243,98,68,14,44.5,67,29.81,29.73,0
167,97,69,15,51.5,74,29.78,29.66,0
152,100,73,6,51,75,29.72,29.55,0
232,99,76,4,54.5,71,29.7,29.57,0
214,96,75,9,60.5,79,29.67,29.53,0
244,95,76,9,60.5,78,29.65,29.52,0.01
241,92,67,16,52,75,29.72,29.63,0
123,93,70,7,57.5,82,29.83,29.75,0
140,99,69,6,55,81,29.88,29.54,0
186,95,73,9,68,88,29.83,29.69,0
343,98,66,12,52,79,29.83,29.72,0
184,95,74,6,63.5,84,29.91,29.8,0
266,94,71,2,63.5,88,30,29.87,0
281,95,69,2,51,88,29.98,29.89,0
248,97,71,6,61,86,29.87,29.76,0
252,92,69,5,63,79,30,29.81,0
276,91,62,10,52.5,74,30.06,29.9,0
385,88,62,5,57.5,81,30.01,29.89,0
235,83,60,4,59.5,80,30.07,29.96,0
146,89,65,2,66,95,30.09,29.93,0
161,86,66,1,62.5,83,30.02,29.89,0
149,86,66,5,69.5,90,29.96,29.85,0
224,85,64,2,66,92,30.05,29.91,0
256,84,59,12,55,83,30.03,29.9,0
211,84,56,5,53,82,29.93,29.85,0
202,81,52,7,49.5,76,30.06,29.96,0
332,81,54,5,57,86,30.13,30,0
284,81,54,0,60,98,30.06,29.92,0
343,81,54,8,59.5,90,30.08,29.94,0
302,73,56,5,65,87,29.9,29.81,0
156,81,55,5,62,92,30.06,29.93,0
143,79,56,6,68.5,91,30.06,29.96,0
200,80,56,2,65.5,94,30.09,29.93,0
395,77,60,6,73,95,30.01,29.8,0
212,64,54,7,85,100,30.2,30.11,0
107,64,47,9,70.5,100,30.19,30.09,0
190,63,49,8,78,100,30.09,29.97,0
379,64,50,5,78.5,100,30.09,29.98,0
318,68,51,0,80.5,100,30.06,29.97,0
380,61,52,5,91,100,30.16,30.06,0
458,63,52,5,86,100,30.16,30.07,0
222,72,53,6,73,100,30.21,30.11,0
142,58,55,8,97.5,100,30.21,30.1,0.2
106,68,58,7,83,100,30.19,30.09,0
179,64,54,8,83,100,30.16,30.06,0
219,75,52,9,60,94,30.09,29.95,0
180,71,55,7,76.5,98,30.13,30,0
279,82,53,8,60.5,95,30.07,29.88,0
192,78,55,9,67.5,97,29.94,29.8,0
226,79,58,18,61.5,84,29.86,29.74,0
312,70,45,7,58.5,93,29.98,29.9,0
234,70,46,15,60,94,29.97,29.89,0
194,58,55,7,90,100,29.98,29.81,0.63
315,70,50,21,65,91,30.09,30.02,0
225,73,52,5,71,100,30.1,29.96,0
328,76,55,6,73,100,30.02,29.9,0
236,73,52,9,62,96,30.16,30.03,0
215,77,54,5,60,94,30.11,29.99,0
194,77,59,7,78,96,29.99,29.86,0.35
283,78,53,7,61.5,96,30.07,29.96,0
171,80,56,9,61.5,93,30.06,29.93,0.16
184,78,54,7,60.5,93,30.08,29.96,0
52,74,58,14,63,71,30.05,29.88,0.16
145,80,60,16,66.5,96,29.99,29.84,0.39
147,78,54,12,63,86,30.08,29.96,0
149,81,55,8,63.5,85,30.05,29.89,0
133,83,57,14,56,88,29.97,29.88,0
156,84,56,12,50.5,79,29.91,29.81,0
106,84,65,14,65.5,87,29.96,29.81,0.04
170,90,63,7,62,96,29.93,29.78,0
125,84,63,6,56,78,29.94,29.83,0.08
163,91,66,7,64.5,97,29.89,29.82,0
113,95,60,9,50.5,79,29.75,29.59,0.01
147,89,58,16,49.5,78,29.87,29.74,0
135,90,64,12,47.5,64,29.87,29.75,0
183,91,54,16,45,75,29.87,29.79,0
151,97,65,7,49,78,29.89,29.73,0
211,93,65,5,56,88,29.91,29.68,0
152,96,56,10,42.5,70,29.88,29.75,0
241,96,56,17,35,55,29.96,29.8,0
194,99,59,14,40,65,29.78,29.63,0
202,101,60,14,37.5,58,29.8,29.65,0
106,105,58,16,29.5,48,29.73,29.57,0
213,109,60,8,26.5,41,29.66,29.48,0
156,100,68,9,54,82,29.79,29.63,0.59
243,96,70,9,54,72,29.81,29.66,0
339,103,66,13,41.5,67,29.71,29.5,0.24
229,101,63,9,46,79,29.61,29.47,0
138,87,68,13,66.5,90,29.88,29.66,0
204,95,64,10,43,62,29.73,29.6,0
175,100,60,14,38.5,63,29.8,29.68,0
202,91,61,14,38.5,62,29.9,29.63,0
138,105,63,17,35,56,29.6,29.46,0
189,110,66,18,35.5,56,29.62,29.44,0.02
175,101,70,5,54.5,86,29.77,29.59,0
137,103,67,9,40,57,29.72,29.57,0
132,112,66,9,33,54,29.5,29.36,0
213,113,62,15,32,53,29.42,29.31,0
190,110,63,17,23,33,29.47,29.34,0
145,97,72,34,60.5,81,29.54,29.39,0.03
189,106,75,13,39,50,29.47,29.33,0
176,106,79,15,55,77,29.43,29.29,0.16
175,106,77,12,52,73,29.41,29.25,0
165,101,74,9,48,65,29.55,29.36,0.12
149,102,72,14,48.5,67,29.49,29.32,0
157,100,77,5,64,95,29.6,29.48,0.01
271,103,77,14,57.5,82,29.64,29.49,0
181,97,77,9,66.5,81,29.62,29.52,0.16
128,90,77,9,73.5,83,29.52,29.44,0.2
129,101,75,9,56.5,82,29.54,29.41,0
183,104,72,16,40,57,29.51,29.36,0
234,106,73,17,39.5,57,29.49,29.36,0
157,107,73,14,42,67,29.48,29.36,0
