Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
3,88,32,5,26
3,68,46,6,67.5
3,71,44,5,61
3,68,50,6,63.5
3,55,46,8,79.5
3,74,52,7,69.5
3,68,52,6,72.5
3,86,60,10,65
3,72,53,6,71
3,82,60,10,66
3,60,49,7,82.5
3,65,52,6,74.5
3,71,50,6,63.5
3,67,50,9,69.5
3,72,54,7,73
3,77,60,9,70.5
3,69,52,7,66.5
3,74,46,6,63
3,69,50,7,70
3,71,52,7,70
3,77,52,6,71.5
3,69,41,6,55.5
3,72,46,6,57
3,82,63,9,77
3,82,59,6,63
3,63,52,8,86
3,70,53,6,76.5
2,82,52,9,62.5
2,69,52,7,73
2,71,53,7,78.5
2,66,47,5,76
2,67,53,6,81.5
2,63,50,9,80
2,72,54,7,73
2,89,59,9,58
2,70,47,5,67.5
2,80,61,14,69.5
2,69,48,6,66
2,75,55,8,71
2,68,55,7,77
2,78,48,8,57.5
2,78,60,7,71.5
2,98,57,9,51.5
2,71,49,7,65.5
2,76,56,7,75
2,81,59,7,64.5
2,68,50,4,69.5
2,68,50,4,69.5
2,66,50,7,70.5
2,68,47,6,69
2,68,47,6,69
2,61,43,7,72
2,89,58,7,53.5
2,68,50,10,72.5
2,93,36,6,39.5
2,76,55,7,73
2,75,57,8,78.5
2,68,53,6,81.5
2,76,58,8,71
2,75,52,8,62
2,64,47,8,68.5
2,67,50,9,75.5
2,65,45,6,69
2,82,60,8,66
2,72,53,6,75.5
2,81,56,8,64.5
2,75,52,5,70.5
2,71,51,9,73
2,77,58,9,69
2,79,59,8,75.5
2,76,44,7,56
2,71,56,9,77
2,68,47,8,65.5
2,77,58,9,73
2,74,54,10,69.5
2,71,56,8,75.5
2,73,56,7,80.5
2,73,58,10,75.5
2,82,60,8,67
2,78,58,9,68
2,76,58,8,73.5
2,69,46,6,69
2,69,54,8,69.5
2,69,47,7,66.5
2,64,44,7,57
2,77,51,8,63
2,78,60,7,73
2,69,53,8,72.5
2,71,55,9,75.5
2,74,44,6,56
2,82,46,6,51
2,66,47,44,70.5
2,80,59,8,72
2,73,54,9,76.5
2,71,41,5,50
2,70,52,9,70
2,76,61,7,73.5
2,77,57,7,69
2,74,59,8,71
2,70,50,6,70
2,73,53,10,75
2,72,48,6,63.5
2,81,62,12,79
2,80,60,8,66
2,73,51,8,63.5
2,73,52,6,67
2,83,61,8,67
2,75,53,6,69.5
2,65,55,10,83.5
2,80,59,8,72
2,78,62,6,73.5
2,76,52,7,63
2,66,49,7,70.5
2,85,57,10,63.5
2,70,54,8,71.5
2,78,50,7,57.5
2,83,60,9,69
2,84,50,6,54
2,71,43,7,58
2,76,58,10,75
