Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
8.3,63,25,15,37
14.3,68,21,7,35
12.2,57,28,6,47
22.3,59,42,6,69
40.3,61,43,7,72
6,62,40,9,61
38.1,65,45,6,69
35.7,69,46,6,69
18.2,76,41,8,55
12.8,77,36,6,44.5
11.9,73,31,6,39.5
15.2,70,36,7,51.5
22.2,67,40,8,50
9,64,20,8,30
6.1,56,40,8,59
9.6,59,43,9,69.5
10.4,60,44,15,67.5
3.7,54,43,12,76
6.1,57,47,13,75.5
6.4,68,41,15,60.5
4.2,58,45,13,66.5
8.4,62,31,14,51
7.8,64,31,9,46
13.3,61,40,7,64
10.2,60,38,9,56
5.2,57,45,18,76
2.2,63,31,12,55.5
7.5,62,28,10,43
15.1,63,35,7,49
14.7,69,38,5,57.5
24.8,76,41,7,42
5.8,83,32,8,37
10.6,79,36,6,41
23.1,77,41,7,50
25.9,60,48,7,80
6.5,62,31,18,44.5
7.8,66,25,9,36
26,63,45,9,66
8.2,81,38,9,46.5
18.1,76,48,6,58
25.1,67,49,9,69.5
16.7,73,45,9,56.5
20.1,72,53,8,70
10.2,66,48,9,50
7.5,64,41,17,57.5
3.2,67,27,13,31
6.7,73,25,15,35
10.7,73,40,9,51
25,71,51,8,68.5
11.5,65,42,9,57
14.6,62,44,9,67.5
12.6,65,45,10,66.5
5,68,50,10,73
20.6,70,50,10,68
18.7,65,48,10,66.5
12.1,66,48,8,64.5
12.1,68,46,8,64
10.3,65,45,10,67.5
7.6,66,42,10,57
11.3,73,46,8,57
12.7,88,40,9,45
9.5,94,28,9,24.5
6.9,97,29,10,20.5
13.4,83,44,10,43
13.3,68,46,9,61.5
13.9,68,46,12,61
15.2,84,40,8,44
15.7,79,44,9,54
13.1,65,45,9,62.5
12.7,65,44,12,64
11.7,68,43,9,58.5
14.2,71,43,10,55.5
11.1,69,46,12,62.5
10.5,70,45,10,58
12.2,89,35,10,42.5
12.9,94,36,9,25
13.7,95,35,9,22
18.8,96,33,8,28
16.3,76,50,12,58
13,68,47,10,60.5
14.2,73,46,10,54
14.3,83,43,10,45
14.9,80,48,10,52.5
13.1,70,49,8,64
9.8,65,48,10,66.5
14.5,65,49,8,71.5
10.6,66,50,9,68
16.3,70,49,9,64.5
19.2,65,51,15,73
17.1,70,51,10,66
20,70,51,9,69.5
14.6,64,50,7,72
13.6,71,49,13,62
17.7,78,51,8,59
18.4,84,53,9,56.5
13,96,51,12,47.5
14,96,50,9,39.5
18.5,96,55,7,48
17,88,57,9,52
16.6,76,56,10,69
14.6,76,49,14,51.5
14,72,50,9,60
14.6,61,47,12,63.5
6.5,66,43,10,57
7.2,68,45,16,61
6.7,72,47,10,56
6.3,72,48,10,58
6.8,77,49,10,56
8.6,75,50,9,59
9.8,73,51,8,64.5
10.5,74,52,9,63
14.2,74,52,9,64.5
17.7,73,53,8,65.5
12.3,70,52,9,63
15.8,76,51,8,59
14.8,80,53,8,61.5
13.7,77,53,9,63.5
17,76,55,8,64
23.9,79,57,8,66
21.4,77,57,8,67
15.8,75,54,9,62
15.8,78,55,10,64
14.9,75,56,10,70.5
14.7,75,55,9,70
19.3,82,56,7,66
19.6,83,56,7,63
18.9,85,56,9,61.5
19.3,89,56,8,54
18,91,57,6,53
18.4,97,59,8,53
16.8,97,58,9,47
15.9,96,58,8,47
18.6,89,56,9,54
17.9,81,58,9,64.5
20.2,79,58,9,65
21.6,79,57,9,64
24.8,79,58,8,64
19.4,79,58,9,67
16.7,81,58,9,66
14.7,82,58,8,63
13.5,83,57,9,64.5
26.9,85,60,8,65
43.7,89,59,9,58
40.3,89,58,7,53.5
30.9,81,60,7,69
32.8,83,60,9,69
22.9,80,60,9,69
18,79,60,9,69
16.8,82,60,8,67.5
13.7,84,60,7,66
13,84,61,9,64
12.8,83,60,9,64
14,84,59,9,59
13.6,85,57,9,56
15.5,86,59,10,60.5
20.1,82,60,8,66
29,81,61,7,72.5
16.5,79,59,9,70.5
13.5,78,58,8,65
12.4,78,57,10,66
17,81,59,8,68
