Avg PM2.5,Avg AQI Value,Avg Max Temp,Avg Dew Temp,Avg Wind Speed,Avg Humidity
8.642857143,35,64.85714286,33.57142857,9.142857143,48.35714286
36.61428571,101.2857143,64,40,6.571428571,60.5
24.62857143,77.71428571,77.42857143,36.71428571,6.428571429,44.14285714
9.3,38.71428571,84,27.42857143,7.142857143,25.57142857
11.48571429,45.42857143,68.14285714,42.28571429,7.571428571,54.57142857
13,50.28571429,78.57142857,30.85714286,7,37.64285714
8.2,34,63.71428571,42.14285714,9.428571429,59.85714286
9.414285714,38,61.71428571,39.42857143,9.285714286,61.71428571
16.74285714,59.14285714,70.57142857,44.57142857,6.857142857,58.28571429
12.01428571,46.14285714,71.42857143,44.14285714,8.714285714,57.71428571
12.52857143,50.42857143,64.14285714,42.57142857,9.571428571,60.35714286
27.75714286,84.57142857,71.71428571,47.42857143,8,61.78571429
18.55714286,61.14285714,69.42857143,40.14285714,10.57142857,53.07142857
19.31428571,66.14285714,71.57142857,45.71428571,8.857142857,58.07142857
10.85714286,43.57142857,71.57142857,40.71428571,11.28571429,52.5
13.3,51.42857143,67.28571429,43.57142857,10.28571429,55.92857143
15.38571429,56.42857143,84.28571429,43.14285714,9.142857143,47.07142857
16.2,58.85714286,67.57142857,45.85714286,9.285714286,59.57142857
15.1,56.28571429,78.28571429,52.42857143,9.714285714,60.64285714
27.6,83.71428571,75.42857143,54.71428571,8.857142857,67.5
27.21428571,83.14285714,77.71428571,57.14285714,8.714285714,69
22.44285714,72.57142857,73,53.71428571,9.285714286,65.64285714
19.21428571,65.85714286,70.71428571,55.57142857,8.571428571,73
9.342857143,38.71428571,71.57142857,54.42857143,8.571428571,68.71428571
12.38571429,47.71428571,74.28571429,56.28571429,8.571428571,69.14285714
18.17142857,62.71428571,75.85714286,56.42857143,9.285714286,68.64285714
22.55714286,73,78.28571429,57.71428571,8.857142857,69.64285714
20.64285714,68.85714286,79.28571429,57.42857143,9,68.85714286
18.97142857,65.42857143,85.85714286,57.85714286,8.714285714,60.57142857
21.5,70.85714286,88,61.57142857,7.857142857,61.92857143
17.47142857,62.42857143,83.85714286,61.57142857,8.571428571,66.57142857
13.55714286,50.42857143,84.28571429,58,10.42857143,61.92857143
26.22857143,80.57142857,78.85714286,59,8.428571429,70.07142857
30.84285714,90.85714286,77.57142857,58.28571429,8.285714286,71.78571429
22.8,73.57142857,90.28571429,55.85714286,9.142857143,55.28571429
27.31428571,83.42857143,95.85714286,60.28571429,8.571428571,53.21428571
19.02857143,65.42857143,86.28571429,61.14285714,8.285714286,62
17.07142857,60,81.42857143,60.85714286,9,67.5
22.84285714,73.57142857,90.71428571,58.28571429,8.142857143,58.5
23.8,75.71428571,83.28571429,52.71428571,8.142857143,59.35714286
16.68571429,60.71428571,73,51.28571429,9.285714286,61.57142857
15.31428571,54.57142857,75.57142857,56.71428571,7.571428571,70.57142857
18.8,64.42857143,80.85714286,56,7.428571429,61.35714286
20.08571429,67,78,41.14285714,10,47.14285714
24.14285714,76.42857143,78.14285714,51.57142857,7.285714286,61.92857143
28.37142857,86.28571429,74.28571429,50.85714286,7.428571429,64.21428571
18.58571429,63.42857143,74,39.42857143,7.285714286,50.71428571
17.84285714,62.71428571,75.14285714,38.42857143,7.142857143,49.42857143
18.3,62.14285714,70.14285714,41.28571429,23.42857143,53.85714286
17.61428571,60.57142857,58.57142857,40.42857143,33.28571429,60.35714286
11.42857143,46.71428571,70.57142857,43.57142857,37.85714286,57.64285714
21.95714286,70.57142857,65.14285714,37.57142857,8.142857143,54.07142857
14.08571429,51.42857143,69.57142857,36.57142857,6.857142857,48.07142857
15.67142857,53.71428571,76.85714286,36.57142857,6.857142857,42.92857143
18,63.42857143,72.42857143,42.57142857,7.142857143,53.14285714
10.9,43.85714286,59.14285714,46.28571429,11.57142857,75
20.11428571,67.71428571,66.57142857,45.28571429,7.857142857,62.14285714
22.85714286,74,65.28571429,47.28571429,8.285714286,67.92857143
21.94285714,72.28571429,76.85714286,44.28571429,7.428571429,54.35714286
11.28571429,43.71428571,66.85714286,44.57142857,9.571428571,59.71428571
10,39.42857143,66.42857143,41.42857143,10.14285714,55.57142857
12.42857143,49.71428571,76.14285714,37.57142857,9.285714286,43.78571429
23.77142857,75.57142857,76.14285714,49.85714286,8.142857143,60.57142857
12.57142857,49.28571429,74.71428571,41,9.428571429,49.92857143
9.8,40.57142857,69.42857143,42.85714286,11,56.64285714
14.54285714,54.14285714,70.42857143,45.28571429,10,58.42857143
15.32857143,54.71428571,71.57142857,49.42857143,10.85714286,62.85714286
19.34285714,63,68.85714286,48.85714286,10.14285714,66.42857143
14.48571429,51.71428571,75.14285714,45.14285714,11.28571429,52.57142857
14.55714286,53,73,47.42857143,10.57142857,57.28571429
20.8,68.71428571,71.71428571,52.85714286,8.857142857,67.92857143
11.62857143,45.42857143,71.71428571,48.42857143,11.85714286,59.14285714
14.65714286,53.28571429,76.42857143,51.42857143,9.714285714,57.85714286
